id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Current,2017-18,80,0.245,20651.9341542501,2.897,83393,85454,84405.9647756767,2017-18,2018,
Current,2017-18,81,0.247,21376.2189238058,2.997,85455,87578,86502.574925816,2017-18,2018,
Current,2017-18,82,0.25,22226.1918114661,3.116,87578,89942,88752.5511869436,2017-18,2018,
Current,2017-18,83,0.254,23173.1792717392,3.25,89943,92430,91171.5268817204,2017-18,2018,
Current,2017-18,84,0.258,24174.7182542511,3.39,92430,95022,93731.4584569733,2017-18,2018,
Current,2017-18,85,0.262,25218.9671042721,3.537,95022,97884,96414.2143121988,2017-18,2018,
Current,2017-18,86,0.265,26372.4195687496,3.698,97884,100922,99376.3724035608,2017-18,2018,
Current,2017-18,87,0.269,27627.2284032615,3.874,100925,104332,102591.317507418,2017-18,2018,
Current,2017-18,88,0.273,29003.7844156644,4.068,104334,107997,106120.269929551,2017-18,2018,
Current,2017-18,89,0.277,30534.5445606721,4.281,108000,112188,110044.40727003,2017-18,2018,
Current,2017-18,90,0.282,32301.8741159582,4.531,112188,117054,114581.937337783,2017-18,2018,
Current,2017-18,91,0.287,34338.3174416529,4.815,117055,122640,119792.015949555,2017-18,2018,
Current,2017-18,92,0.291,36650.0937417026,5.139,122640,129042,125737.551928783,2017-18,2018,
Current,2017-18,93,0.297,39428.6587886509,5.53,129043,136843,132865.503522432,2017-18,2018,
Current,2017-18,94,0.302,42733.4044264436,5.992,136846,146299,141340.511498516,2017-18,2018,
Current,2017-18,95,0.308,46890.4244566266,6.577,146300,158339,151992.130515387,2017-18,2018,
Current,2017-18,96,0.315,52243.1442290748,7.325,158340,173839,165717.37537092,2017-18,2018,
Current,2017-18,97,0.324,59601.774502544,8.357,173849,194456,183646.001854599,2017-18,2018,
Current,2017-18,98,0.342,71584.0829482619,10.041,194460,227630,209343.42120875,2017-18,2018,
Current,2017-18,99,0.37,100463.828478731,14.086,227651,322962,270794.945103858,2017-18,2018,
Current,2017-18,100,0.41,256994.577446739,36.033,323013,4042975,603928.992581603,2017-18,2018,
