fy_year,y,Financial year ending
2018-19,-4.18191447894658,2019
2019-20,-4.31970550213869,2020
2020-21,-4.45447908660076,2021
2021-22,-4.57137082198564,2022
2022-23,-10.2358459614786,2023
2023-24,-10.754153554404,2024
2024-25,-17.9043017630332,2025
2025-26,-19.0533150590082,2026
2026-27,-20.267639369821,2027
2027-28,-21.5355094501777,2028
